Test,Cells per Block,Pixels per Cell,Orientations,Feature Size,AUC,Accuracy,Precision,Recall,Training Accuracy,Prediction Time (s),TP,TN,FP,FN
134,3,7,6,3402,0.9976822871468517,0.9783229353917733,0.9784725797083365,0.9783229353917733,1.0,0.6133606433868408,3383,5869,131,74
135,3,7,7,3969,0.9979082537845917,0.9794860949561172,0.97971313593659,0.9794860949561172,1.0,2.3038389682769775,3398,5865,135,59
136,3,7,8,4536,0.9983208465914569,0.9810722216347679,0.9811773939451772,0.9810722216347679,1.0,0.8228003978729248,3391,5887,113,66
137,3,7,9,5103,0.9981340757882557,0.9807549962990377,0.9809324229773349,0.9807549962990377,1.0,0.9275202751159668,3399,5876,124,58
138,3,7,10,5670,0.9983918619226689,0.9824468647562652,0.9825791750297855,0.9824468647562652,1.0,1.0940840244293213,3402,5889,111,55
139,3,7,11,6237,0.9983755182721049,0.9820238976419583,0.9821297228714349,0.9820238976419583,1.0,3.812800168991089,3396,5891,109,61
140,3,7,12,6804,0.9986115128724327,0.9824468647562652,0.9826097546814253,0.9824468647562652,1.0,1.2197387218475342,3406,5885,115,51
141,3,8,6,2592,0.9978110596856619,0.9812837051919213,0.9813754674706995,0.9812837051919213,0.9995,0.4876978397369385,3390,5890,110,67
142,3,8,7,3024,0.9980214540545753,0.9814951887490747,0.9816910900034581,0.9814951887490747,0.9998333333333334,1.8161423206329346,3405,5877,123,52
143,3,8,8,3456,0.9983221000867805,0.9831870572063022,0.9833063583383862,0.9831870572063022,1.0,0.621340274810791,3404,5894,106,53
144,3,8,9,3888,0.998231703789413,0.9808607380776144,0.9809801411128778,0.9808607380776144,1.0,0.6931474208831787,3392,5884,116,65
145,3,8,10,4320,0.9985,0.9829755736491488,0.9830955290752584,0.9829755736491488,1.0,0.7784256935119629,3403,5893,107,54
146,3,8,11,4752,0.9981745251181179,0.9816009305276515,0.9816888139572759,0.9816009305276515,1.0,2.8753087520599365,3391,5892,108,66
147,3,8,12,5184,0.998403095169222,0.9814951887490747,0.981634317497228,0.9814951887490747,1.0,0.9265224933624268,3398,5884,116,59
148,3,9,6,1620,0.9954340468614407,0.9685946917627154,0.9691650900757489,0.9685946917627154,0.9893333333333333,0.2982041835784912,3370,5790,210,87
149,3,9,7,1890,0.9962235560698101,0.9718726868985936,0.9722436714853081,0.9718726868985936,0.9925,1.2317068576812744,3372,5819,181,85
150,3,9,8,2160,0.9967619805226112,0.9743047478058581,0.9747047352745126,0.9743047478058581,0.994,0.38496971130371094,3387,5827,173,70
151,3,9,9,2430,0.9968021405843217,0.9733530717986677,0.9736814397152305,0.9733530717986677,0.995,0.4358339309692383,3376,5829,171,81
152,3,9,10,2700,0.9967833863658278,0.9732473300200909,0.9736410293371484,0.9732473300200909,0.9968333333333333,0.4857044219970703,3381,5823,177,76
153,3,9,11,2970,0.9962933661170571,0.9725071375700539,0.9728285095416866,0.9725071375700539,0.9981666666666666,1.8015167713165283,3371,5826,174,86
154,3,9,12,3240,0.9968233535821038,0.973987522470128,0.9742905797219923,0.973987522470128,0.9973333333333333,0.5814447402954102,3377,5834,166,80
155,3,10,6,1296,0.9982609680840806,0.979168869620387,0.9794214435056786,0.979168869620387,0.9916666666666667,0.2483372688293457,3399,5861,139,58
156,3,10,7,1512,0.9983928743611995,0.9818124140848049,0.9819467925172144,0.9818124140848049,0.9943333333333333,0.9784195423126221,3399,5886,114,58
157,3,10,8,1728,0.9984437855558769,0.9801205456275774,0.9803176261836919,0.9801205456275774,0.995,0.37998485565185547,3398,5871,129,59
158,3,10,9,1944,0.9986383665991707,0.9811779634133446,0.981329616128511,0.9811779634133446,0.996,0.42685842514038086,3398,5881,119,59
159,3,10,10,2160,0.9985320605534664,0.9808607380776144,0.9810336049707603,0.9808607380776144,0.9976666666666667,0.4557807445526123,3399,5877,123,58
160,3,10,11,2376,0.9982859415678333,0.9798033202918474,0.9800061156383142,0.9798033202918474,0.9986666666666667,1.4191761016845703,3397,5869,131,60
